Sample1	Sample2	Sample3	Sample4	Sample5
NDUFAB1	46.551937	94.461	91.221776	320.585036	43.132397
PDK4	7.80855	20.1942	1.96301	126.639	3.64751
SLC22A16	0.0576548	0.1247448	0.0993296	0.134753	0.025257
ZMYND10	0.3871995	1.279365	2.070156	3.684821	1.92793
ABCB5	0.1644112	0.1733927	0.1427023	0.0878482	0.1124918
ARX	1.52394	0.0506482	0.730457	0.0196394	0.0330052
SLC25A13	6.708578	21.954931	12.358725	24.20216	22.9756
ST7	11.9065767	27.149796627	21.198189689604	20.7182079	26.0833208
CDC27	6.970643	18.831493	13.795406	16.666024	13.403952
SLC4A1	0.25909548	0.18567503	0.2223631	0.259649	0.3993256
CALCR	0.453274	0.939185	0.604047	0.0321101	0.3012026
HCCS	17.72044	22.6943	19.188047	24.79311	15.6629
DVL2	9.304486	18.41223	15.586455	15.690002	24.562405
PRSS22	7.90086	64.826936	19.353509	34.181865	11.99268
UPF1	11.79571	26.59178	16.15417	20.2063	16.02662
SKAP2	9.5943	33.2166	17.5614	42.7483	22.9915
SLC25A5	108.753	263.793	282.86	242.674	228.671
CCDC109B	7.55524	12.2734	25.388	6.54589	5.69498
HOXA11	0	1.50307000491032	0	0.0797904	0.076048
POLR2J	39.037771	93.78656	88.69524	77.432787	105.50104
DHX33	3.7003039	9.16612	6.77078	6.2064	4.5245239
MEOX1	0.5820457	0.41728	0.2183076	0.0919161	0.1273341287546
THSD7A	0.12609942958	0.99431761	0.420385	0.297005	2.6590521637
LIG3	6.448242	12.32975	6.77923	11.85608	9.275844
RPAP3	6.81757	21.31813	11.5301	28.37535	17.07187
ACSM3	8.2156949	12.0192642	4.10371	24.2966995	5.1179381
AC004381.6	1.38109580775726	1.6038695	1.5377125	7.8314217	1.8527028
CIAPIN1	16.248102	37.905644	25.23394	38.969332	18.641953
SPPL2B	15.446685	17.215	17.964262	18.419605	16.787494
FAM214B	8.9115842	20.4072805	21.0157259	9.94052660080061	12.199989
COPZ2	4.681412	20.515803	32.51726	6.7193	4.4143619
PRKAR2B	1.62197	6.8235	11.4941	1.31733	2.56762
MSL3	11.9637509	18.9139562	17.137066	12.972676	10.498179
CREBBP	7.357247	18.4881035	9.051789	9.5426779	7.7048762
BZRAP1	8.794803	18.436473	7.709619	0.8778031	11.606335
MPO	0.2846264	0.22714	0.12791	0.294564	0.0501529
PON1	0.380119	1.07778	2.49152	0.242548	0.412755
GCFC2	7.3798	11.4958622	10.536312	12.640031	12.06018
WDR54	3.834907	17.63428	18.858828	8.563222	10.110047
CROT	2.5534298	10.4372356	6.3044684	6.626178	9.471838
ABCB4	0.1357257	1.2862968	0.433624	0.195597	1.18235610765357
KMT2E	7.287779	18.114845	14.68283	9.5412804	13.467553
RHBDD2	52.1976	98.6243	127.1346	81.9121	97.7835
SOX8	0.0657581	0.308095	0.0485471	0.0438221	0
IBTK	3.824336336659	11.76881	6.3604617	13.547548	5.40605
ZNF195	5.4360497691907	10.636602	8.466726	12.853169	10.705945
MYCBP2	14.9921275683	17.96895136	16.8956400733055	14.847932102675	10.08338247598
FBXL3	8.299762	17.9979201	16.839033	10.694533	9.340583
ITGAL	16.624314	11.32847	6.101102	7.5222169	4.071732
PDK2	15.5921215778	18.17561	9.73889	4.422554	16.2636
ITGA3	139.399104	200.105864	189.315553	67.3665551	118.930315
ZFX	3.760956	8.4215981	6.1047063	4.7277989	5.4676934
LAMP2	62.21329	142.15077	94.81337	40.66727	47.85176
ITGA2B	1.938109	3.2726776	0.5727749	0.860488	11.388848
ASB4	0.0859416	0.523061	0.7920478	1.881305	0.4298242
GDE1	40.980556	62.66569	54.10503	60.7618008	44.79106
C19orf60	18.48612	22.78577	28.54677	26.99606	10.56481
CRLF1	0.2629105	42.673	0.635331	0.1741855	0.508006
OSBPL7	2.3333796	8.78061	4.698451	3.3945808	3.6401275
TMEM98	18.766567	98.9558237	69.497331	34.238058	43.11404
YBX2	0.485836	0.865598	3.08912	11.2457	4.93599
KRT33A	0	0	0	0	0
MAP3K14	4.655332	5.643241	3.797365	6.3124002	3.6978221
ABCC8	0.05550404	0.162913	0	0	0
CACNG3	0	0	0	0.0200988	0.0791961
TMEM132A	34.74135	39.93951	44.27481	26.9351394831	43.68918
AP2B1	45.9817160510486	104.74055	87.3838641545439	67.875224847343	63.908137386
TAC1	0	0.299488	0	0.0869037	0.0317084
ZNF263	8.4412456	16.975603	12.784887	14.747253	9.9354551
CX3CL1	27.8889140013528	70.7806503	56.849533	1.939468	8.5962868
SPATA20	17.114385	28.18062	14.641781	4.9439983	18.952111
CACNA1G	0.0876432	0.2302143	0.209275287	0.1327832	0.10958354
TNFRSF12A	46.284067	160.03017	155.22261	68.45807	62.841669
DLX6	0.0990767	0.968288	0.0334345	1.91603	0.0091916
MAP3K9	2.4249322	9.6305127	4.0910082	1.5354713	9.5958553
RALA	20.0428682	62.701218	36.283239	27.122174	46.1981
BAIAP2L1	12.4895	41.2581	47.9277	46.6239	74.1473
KDM7A	0.925572	5.11384	3.0108	1.60431	4.30858
ETV1	6.4624545	13.9261053151	14.1322391	4.226927	3.32476338336
AGK	8.9630466	22.7773835	13.6550973	13.969564	22.3358478
ALDH3B1	92.190085	18.4861086	52.9457535	117.183483	20.3781583
TTC22	3.830165	6.508544	6.075593	17.867718	8.108821
PHTF2	8.06059733	11.1968922	10.6662	5.5956088	18.2765410002756
CCL26	0.735867	0.926853	3.36054	1.94727	1.43378
FARP2	3.935843	14.187004	6.931194	12.190391	6.428695
USH1C	0	0.34335800295125	0	15.512284	0.159813
GGCT	79.943079	85.549129	59.117343	58.694294	164.087167
DBF4	0.274438	0.220906	0.694347	0.318296	0.651948
TBXA2R	1.526541	2.706169	2.138675	1.347747	1.9065139
IFRD1	11.8198785	41.7747172	30.437433	31.419634	47.450064
LGALS14	0.1899414	0.136763	0.0454607	0.188755	0.259375
COX10	3.2265076	8.89717	7.18975	7.53188	4.099367
GTF2IRD1	5.961437	23.12223	13.75592	13.00685	23.628112
PAF1	20.70407	46.415725	46.262418	31.98374	23.9795079
VPS41	21.614864	39.2881	20.123824	23.12457	32.716845
ARHGAP44	1.33295000010416	7.68577	3.403090156565	2.71335	2.0955928
ELAC2	10.734984	33.860298	21.3759500054887	19.460064	10.979626
SCIN	1.77607	10.33593	18.915828	1.18361	15.353931
ARSD	24.475657	43.8512	22.464233	25.3294	21.9558122
PNPLA4	8.333609667138	16.132080128034	11.976064	18.913633	13.810238
MYH13	0.0159415	0.021246900181355	0.0777492186403	0.0137247	0.0095578
ADIPOR2	11.7564	21.6082	18.3101	26.5469	20.234
CDKL3	0.831444	1.980449	1.410078	1.146510706	0.434309494
UPP2	0.0112607	0.169346	0.0657817	0.0102774	0.0215269
PRSS21	2.317023	50.50705	0.195071	3.088606	0.274435
MARK4	12.603096	13.518936	14.289515	8.9940014	9.4999529
PROM1	2.2493102	4.194685502	0.1349796094	3.12815	8.9317177136598
CCDC124	42.61857	59.52209	70.652117	71.84884	56.12448
CEACAM21	2.023974	3.92143	1.475045	1.1326812	0.6664096638
PAFAH1B1	14.786922	48.423949	28.8233	16.629369	19.406712
NOS2	0.547788	0.4972796	0.17378	0.372612	0.412137
DNAH9	0.10127084	0.6348776	0.0538118	0.2625972	0.2608614
KIAA0100	27.6053	52.1125407	32.3912	22.1206	46.9254
SLC13A2	0	0	0	0	0.1056021
GAS7	4.57928491	6.97659651	6.7238976	3.117284448	2.236395
TRAPPC6A	47.54112	63.67574	36.8083	23.30267	30.02357
MATK	4.076466	3.4989897	3.430714	2.8067357	1.231249
CEACAM7	0.0227675	0.905367	0.416925	0.5133862	0.0472769
CD79B	10.10398	3.20524	3.481974	4.74783	3.171139
SCN4A	0.0613828	0.343464	0.159949	0.0257551	0.864815
ST7L	0.6391763	2.939497	2.4608427	5.540905	3.068278
TKTL1	0	0.107894	0	0.0882156	0.00872172
PAX6	0.08994160150635	0.3066630348874	0.516314964149	0.211147	0.1382380038666
RPUSD1	9.921542	20.944678	17.797117	23.592631	11.6512936
RHBDF1	23.7706	26.6633	27.5883	22.43214	26.673
LUC7L	13.306746	17.489769	16.42665563	11.10699	16.36369449131
CACNA2D2	1.804064	22.2848607	0.340879	0.2251471	1.790664
BAIAP3	2.7550802	11.1603606	1.82705	8.269367	6.9100915
TSR3	19.021	47.634	43.4907	39.2453	25.5857
PIGQ	10.230997	20.7921867	10.801131	16.9467107	12.905807
CRAMP1L	3.916358	7.6033100004746	5.4422090142036	2.6428608	4.547606
TEAD3	15.52365	23.53671	18.641015	36.61844	34.16534
SELE	0.391680938955	0.2912521	0.183801	0.604734	0.0607752
DNAJC11	9.1279462	22.24216	15.100798	27.727861	24.251674
FMO3	8.29547	7.62898	6.95918	5.21204	2.13356
MYLIP	10.90742	17.6731	12.94558	14.31126	14.2332
NOX1	0.55559661004	1.314676	1.6871867	1.562216	1.3866817
E2F2	0.943057	1.33223	1.10208	2.73546	3.35765
PSMB1	110.327	190.889	178.672	163.829	129.205
SYN1	0.0828676000716444	0.364441000297778	0.3927160200855	0.390178	0.144789
JARID2	3.05702	6.14427	2.363962	5.1243	1.674074
CDKL5	2.1243441	3.2777537	2.96604892	0.9470631	2.2330747
CAMK1G	0.353588	0.33508451	0.304258	0.396303	0.235475
CDK11A	10.27194733708	10.61926180123	5.7341640391743	10.8006055905374	10.78861583
NADK	28.203372	32.806551	32.634465	78.735349	52.423543
TFAP2B	0	0.00441985	0	0	0.00348713
TFAP2D	0.238592	0	0.285781	0	0.169925
DLEC1	0.167746	0.8366242	0.1729886	0.0928592	0.665651
CYTH3	17.05604	22.646435	20.61137	3.49745	19.89495
ADAM22	0.2891099	1.100786	0.93411242	0.1899009	1.6058475
SYPL1	22.928288	104.10435	85.64864	76.740052	62.036508
CYB561	54.8646798	45.6648674	56.5507306	75.5238552	75.5487073
SPAG9	13.1498879	32.37486	17.45687758	8.3735850458492	11.73814
CELSR3	0.626547	0.467347	0.340922	1.3764	1.20336
AASS	0.3560174	3.27596	1.289233	1.17593	1.0086300262751
PLEKHG6	2.836258	6.606996	6.584723	5.681587	8.755773
SS18L2	22.5397	19.194677	27.438788	19.968667	21.4322892
MPND	15.182608	22.0268925	18.527948	15.8027018	13.7254873
MGST1	298.378156	214.1011731	495.6772435	565.021884	700.613694
CRY1	3.968569	9.81051	6.7770223	9.48571	9.06234
PGLYRP1	0.0421026	0.182716	0	0.0740966	0.29282
NFIX	8.858075	22.783826	9.82298336364	7.976338	6.620906
ST3GAL1	5.73301	16.267401	16.0233378	11.6029189	13.5513927
MMP25	1.4743	1.30127	1.42269	0.75847	0.637598
IL32	304.580858	221.148585041729	569.876176	206.005224	54.54494409798
PKD1	2.742784	5.201147	4.97962	2.540337	3.99454
MAPK8IP2	3.52624	2.9225	0.717861	1.60605	5.78551
MED24	18.5804445	41.958206	36.3951740001073	28.3789849	40.0272197
RHOBTB2	22.498852	40.870647	18.967671	23.79208	41.74099
HEATR5B	5.55443	10.28103	6.650122	5.351137	7.809272
SEC62	35.1812	50.944	28.853	29.1747	24.39455
RPS20	1546.12839	1880.244331	2682.0031434547	1952.955422	2410.59197
CSDE1	65.571117	188.1315702	204.735281000114	142.38907901495	150.39009225
UBE3C	11.1791906	31.025779	26.7314633	20.369687	29.5777038
REV3L	4.826184	3.1977110001086	2.23383	6.345578	3.8290079
TENM1	0.0706196	0.1270062	0.1145513	0.1045636	0.0794664
PAX7	0.0951146	0	0	0	0.0119953
MASP2	0.41253	0.900751	0.120043	0.1900715	0.506963
IYD	0.2901313	0.7197075	0.2297528	6.6195702	0.9870459
FAM76A	4.8415	8.195937	5.2144581	7.40774986	9.85056080108
TRAF3IP3	13.111726	5.743711	4.104407	3.179968	3.617858
POMT2	4.3494274	15.171375	6.926270027193	11.5247	5.63402
VTA1	10.851521	25.547198	19.969131	27.208991	16.683805
MLXIPL	0.1078354	2.686805617651	0.131234	1.0299557	1.881050228783
BAZ1B	10.07527	30.48583	24.93869	21.31959	31.55393
RANBP9	18.6966	25.6823	23.2046	24.2546	20.8393
ETV7	21.001868	4.603362	21.324808	21.672604	8.75548
SPRTN	2.8312278	6.654472	5.633636	6.630624	3.887175
METTL13	6.209746	18.375407	12.8408	17.418778	9.855322
DYRK4	2.048639	3.809755	3.384782	3.2090951	1.618433
ZNF207	53.038394	86.78513	71.6956502	67.644322	47.3359968
UQCRC1	7.64174	12.0977	12.3422	28.8597	14.6144
STARD3NL	26.640526	50.03332	43.693534	27.317724	48.440621
CD9	243.070283	323.23045	302.767013	170.581009	291.7619374
HHATL	0.0831934	0.480325	0.192936	0.0254571	0
NCAPD2	5.75141	9.64135	12.8426	15.4402	20.619235
IFFO1	1.515980602	1.8570637	1.894481	1.157926	0.938812
GIPR	2.39872	4.0238865	4.6414259	1.7591277	3.227831
PHF7	0.985696	1.75015	0.7949083	1.438181	1.527232
SEMA3G	0.881979	2.157865	1.413803	1.1097261	0.68197
NISCH	21.737722	23.898516	17.62400124319	16.375842	24.1641100146292
STAB1	18.30134	27.70992	52.4832	25.75976	14.58461
FUZ	4.116232	12.70825	9.179615	9.5986198	4.71915
SLC6A13	0.0435364	0.687252	0.1409612	0.1848848	0.0406695
PRSS3	0.7947985	0.254722	24.865132	17.441924	1.327012
ZNF200	1.9465062	5.64767700211393	4.36519071047	4.222546	2.166942
CD4	40.960203	49.1	46.0123155	24.040283	12.7205213
LRRC23	1.431994	3.628993	2.650481	6.009738228918	3.2455417
BTK	5.35261	8.502078	3.73331	2.67825	1.846036
HFE	2.312194	3.61797900110127	2.1179948	8.3363223	5.1603589908
SCMH1	7.585717845	14.3778751	17.3807480188426	14.068274	22.066028
FYN	19.0802193	30.605668	41.013910884	5.577531	24.9434387
HIVEP2	2.89861700520733	8.754535	5.85288104594	3.655269	3.4666100156462
FMO1	0.493729969	0.665030364	2.63619388014812	1.3749188546	0.9029326458
TCEB3	10.188461	27.17677	13.46654	22.982199	19.10132
LYPLA2	57.192322	111.556331	83.755096	133.887283	133.692306
CLCN6	5.043215	7.0699101	4.39242560006722	6.4086901	7.1692334
MRC2	7.190152	28.63648	36.96273	9.94749	6.875972
NME2	8.53359	13.2506	9.33218	12.9496	21.035
SLC6A7	0.0424539	0.144768	0.0763085	0.138482	0.1174091
TSPAN9	6.9163845	19.828557	15.54288	9.467724	6.646387
BTBD7	0.892712	5.160986	1.694017	2.091027	1.8970559
APBA3	4.60114	6.5689	9.4896	4.12226	4.33112
MKS1	6.675145	14.84444	8.744433	13.737419	11.04411
ABHD5	7.6829685	19.1310711	13.4502816	7.892348	9.079777
KAL1	2.99961	21.3608	20.9861	0.74441	9.47575
AKAP8L	9.89263	14.8335	13.9538660011401	15.0857	11.9826
MBTD1	4.664215	8.01923	3.648187	4.132745	7.08
UTP18	16.94896	29.387717	23.351067	26.241254	25.977435
RNF216	12.395728	22.80892	16.6093112	11.4631532	22.883788
TTC19	2.154939	5.00263	3.291821	3.015	1.962549
PTBP1	76.556079	115.126808	132.4579146	130.584356	118.685903
DPF1	0	0.7216075	0.276928243	0.0185175	0.00956067
SYT7	8.1605199	15.873423	12.1485240231256	7.901014	20.315843
LARS2	3.939473	5.237319	4.13398	6.274404	3.342332
PIK3C2A	4.327242	10.55387	7.391765	10.29387	5.699459
PLAUR	42.899849839	161.691231	165.990941	81.741053	34.207286
ANLN	8.406848	17.14815	39.2726888	25.287078	30.8771716
WIZ	9.004012	17.871323	13.999676	12.847762	9.6533642
RABGAP1	8.0151592	15.515854	16.6370405	12.821872	18.176865
DCN	160.366627	302.549539	501.291368	155.9937998	99.3001423
QPCTL	8.72381	8.141142	10.176579	6.414655	6.47701
PPP5C	15.359068	44.4711	31.92349	27.97679	19.187125
CEP68	3.780856	7.858798	3.560883	3.051982	6.259254
MAP4K3	7.63134	25.48848	15.01646	10.596264	12.5044966493
ZBTB32	1.075284	0.332807	0.472757	0.621671	0.2925506
TYROBP	179.11241379	258.33089	215.02626	162.58064	51.35919
TMEM159	16.413619	51.5873	40.3247	69.82732	20.216002
GABRA3	0.0136156	0.0220552	0.0142414	0.719944	0.0119579
BRCA1	2.576237	7.381530522524	6.090361	10.7747353	10.3637879
ERCC1	22.987304	43.851570722	66.5476353	36.674398	27.9647239
CD22	3.0524949	6.989511435733	1.0388187	1.1380639	0.750235
SEMA3B	1.0097061	20.77627	14.545533	5.178008	2.652560235955
MBTPS2	3.0502267	9.649992	8.632344	10.544415	5.895011
PRICKLE3	5.555943	3.9524	6.682285991	5.63884000111307	2.779037
LTF	3.00718	52.274028	0.8936197	0.5927664	11.218863
EXTL3	3.93002	7.97557	10.047085	4.20339	7.759679
NR1H4	0.0725344	0.0185809	0.0202937	0.024749	0
ELOVL5	120.93924	82.062965	56.532139	44.075462	62.618147
ALOX5	16.36411	37.712	15.09829	13.15813	5.48613
KDM5D	0.00432526	0.035676	1.942478	0.00380038	0.00756254
CALCOCO1	26.462701	58.716579	23.100187	24.8420246	22.8765946
UBR7	6.266327	17.402472	12.520273	9.0884113	8.8394843
MAP4K5	6.553308	24.659733	12.273034	12.0848844	14.032132
EHD3	1.599593	9.08071	3.39484	2.88109	2.03272
PSMC4	39.4484	73.7116	81.2325	59.7513	38.3482
MAN2B2	13.23244	26.43626	22.34507	17.49777	6.77021
SLC7A14	0.0514953	0.0579694	0.0568309	0.0648863	0.0798513
CLDN11	0.976855	1.718224	1.624016	0.879963	0.819546
SLC25A39	117.05183	161.18909	155.996859	153.158276	155.93847
MVP	111.953221	198.78284	198.211378	216.913136	147.373313
NUB1	22.86912	38.31771	48.232268	46.156243	45.493398
PGM3	8.1515566	25.349831	21.077445	22.841526	12.298494
RWDD2A	1.36623	3.10488	2.45309	2.0698	1.63086
CLK1	22.847558	38.491188	22.985825	46.153737	10.272414
POLR3B	1.22291	3.410699	2.83077	4.79012	3.13947
ANGEL1	7.753942	17.062781	5.3047	9.781502	6.29029
RNF14	10.71511895	27.92208908126	17.6591413734	27.29063318568	13.03991646
DNASE1L1	23.656448	23.72514	24.65495243	25.0219751	13.80115
DDX11	8.955876	15.8204	8.127659	18.90951	21.9547866
HEBP1	25.391635	39.810091	37.914344	25.915015	36.837174
GPRC5A	32.143071	151.92025	273.26852	92.28046	57.784078
MAMLD1	1.379161	1.20973	1.307595	1.25572820331	0.54789
CD6	10.9212574	5.82493	4.1287143	10.2428505	2.3123973
TACC3	13.2389445	25.2532123	30.5184595	34.4669978	15.1429393
UFL1	5.73283	15.4759	11.7961	9.72795	7.92092
POLA2	5.598409	5.63189	12.419211	15.36662	9.48347
ZC3H3	11.614357	9.9829618	15.6455	21.170659	15.894846
CAPN1	40.1467143	120.7492427896	156.815731	133.4094664	75.399643
ACPP	1.908003	6.445689	2.142196	4.151109	4.102823
MDH1	111.067925	130.369347	92.693407	137.636864	105.0922771256
SLC30A9	5.54569	11.5627	12.2056	12.7412	10.9716
MTMR11	2.22803	4.980234	4.90333	8.28179	11.71061
COX15	9.75321	18.10409	14.19436	22.49014	23.73853
CCDC88C	5.233559	10.0287321	5.413831	4.713536	3.598407
YAF2	3.916585	7.774332	7.011889	10.497447	7.05132
ZMYND11	23.156925976472	24.936995	20.206739	24.4933727566	23.1709871
WAS	13.09356	11.712305	11.168927	8.422693	5.498284
DPEP1	1.809512	1.66485	0.772069	0.545082	0.56629
BID	6.6997805	69.816235	50.9910436	30.229719	15.2223
MATR3	57.865966	123.7033076	95.2561614	119.037534	74.054165
NPC1L1	0.0765855	0.266657	0.125123	0.210381	0.886637
XYLT2	14.1573688	22.668935	12.760347	12.272778	20.147608
RGPD5	0.6665798	1.865131	1.329362	0.60307	1.0585205
STMN4	0	0.059586	0.0463267	0.00975622	0.0191736
NUDCD3	2.24256	3.36743	2.36492	1.13743	2.37792
ISL1	0.0310346	0	0.0294494	2.89507	0
CHDH	1.2588516	6.12556	1.16508	2.1616043	1.69834
IL20RA	1.2371681	7.896728	4.8349979	3.874443	2.4601762
CLCA1	0	0	0	0	0.0146113
CLCA4	0	0.0274223	0	0	0.0146199
GLT8D1	17.841791	31.96321	31.1710729	28.662842	18.3152308
ATP2C1	21.44915328131	39.3169032193	22.7081548443165	29.4224766	26.720613
IGF1	1.0226828	4.25547700700232	1.908443	1.920822	1.0355856
SLC38A5	6.869371	5.2575450287272	23.4521894	4.2713163	3.758202313
RALBP1	30.1650875	27.179609	29.262888	42.122975	17.747848
RUFY3	8.541913	11.359822	11.28652	13.55507	7.573496
CNTN1	0.81772525324257	1.981034755385	4.02636853765	10.0959176	0.6741928074878
SLC11A1	1.12599	13.2158	10.4468	11.0622	1.61654
WWTR1	11.1727266	34.494602	20.7010807	12.288371	14.6048784
AGPS	3.26732	15.3324	9.56955	12.2154	4.63779
CXorf56	8.29752	15.76992	10.75031	12.02817	11.11405
ATP1A2	0.2072932	0.555984	0.0832807	0.1499759	0.1271083
TTC27	5.4966	10.6216	6.86182	14.7219	7.69398
ZNF582	1.849806	1.502474	2.772674	0.898863	2.275556
VSIG2	1.553371	32.12964	24.06712	4.826535	3.69924
PHLDB1	14.17499	53.114736	20.779128	13.304439	14.075413
MARCO	7.890482	151.368	25.203251	14.340302	3.03558
CYP24A1	3.1239780057665	1.40048	20.771035	151.77862	5.49501
PRDM11	0.8778868	2.3549824	1.270923	7.304787	1.3429726
SYT13	0.029175	0.267301	0.021551	3.85736	0.0804104
SNAI2	4.808021	4.6017	13.886377	2.252124	3.38843
CD74	4193.80453	3106.653768	3057.8882	3850.580321	938.860093
HGF	1.8939573	4.187755	1.590018446	2.083423	0.7721511
ZRANB1	3.29405	7.15198	3.65226	5.70106	4.57479
NCDN	8.0760006	14.921103	10.645561	10.743371	11.250746
GPR124	4.912393	8.12636	7.7905122	3.833315	2.85083
ZFP64	3.7539214	8.624463	5.4887114378015	16.591261	7.3645825
MNAT1	19.970425	24.074363	17.739186	28.65461	22.576223
SAMD4A	5.715506846	32.712556	13.838014	1.767126	5.404547
RUNX3	7.49859	13.37722	4.57279	2.349642	2.72853
MRE11A	3.691326	8.872681	12.63736	15.343399	8.216759
PLEKHB1	7.800539	14.125268	12.927388	14.257971	12.880388
SERPINB1	47.2718	104.569	99.6069	165.946	92.8324
CYP3A43	0.1262793	0.112948	0.1220813	0.0995511	0.171529
SLC7A9	0.31804909356	0	0	3.898018	0.2491622
SPAST	4.8975374	11.323598	7.26277064	6.898887	8.439379
NRXN3	0.5353691809159	2.14371	0.5381292	0.12669013	1.5533777116032
OSBPL5	4.01749891	8.5758264369	11.868301	7.3580996	8.97919301673503
AQR	1.33696	3.77878	1.92636	1.64369	1.90961
CPS1	0.1953406	0.963264	1.06718777	300.1857872	0.1574067
C8B	0.0131989	9.38732	0.0552155	0.183319646613	0.0924696
FHL1	5.381881972	46.562717921	8.3113361803	3.3899626	2.94928340612
RTFDC1	36.617674	68.41764	47.4798	81.539235	70.47461
GABRA1	0	0	0	0.100998	0.00573167
NLRP2	6.7483577195211	16.907879	31.229073	23.8590722	0.837042
SLC45A4	6.4823192	6.3481028	7.7455922	12.5132546	5.3691314
RNF10	44.766760432	62.2627	54.0950116	72.02639	64.352346
ZNF839	5.2381285	12.211654	4.673935	4.058794	7.20376
ZDHHC6	13.873238	29.840641	25.565487	33.39772	22.38933
GRAMD1B	1.029167	0.885831	0.832953	33.5664149	0.3435299
RNH1	71.990096	107.392198	116.722014	122.951557	70.457908
NDUFS1	10.221360234	31.803068	30.318378	43.1692	12.047034
RB1CC1	15.31466	9.995643	15.42861	13.1367269	11.026368
ERP44	13.9727	19.492	28.9039	20.683	19.023
ALAS1	50.91636	51.24152	26.980539	42.410230705853	32.775807
BIRC3	16.498705	15.09878	141.903969	151.06241	6.928519
AKAP11	2.96793	7.62437	5.75714	6.40421	4.07757
GLRX2	7.72898	13.619292	19.861412	22.560382	13.556
SNAPC1	4.91978	10.904	5.86115	6.24912	6.97589
DERA	16.865179	27.358194	26.641365	25.709608	50.856668
STRAP	25.06272	50.5851	51.2567	110.795026	51.64918
ABCC2	0.1241	0.244125	0.272172	15.7136143	0.116548
